id_etablissement,nom,type_etab,ville,region,pays,telephone,capacite_lits,niveau,actif
1,Dispensaire Yaoundé,Dispensaire,Yaoundé,Centre,Cameroun,+237 224 350 328,22,1,True
2,Hôpital Privé Yaoundé,Hôpital privé,Yaoundé,Centre,Cameroun,+237 231 658 189,350,3,True
3,Polyclinique du Centre,Polyclinique,Mbalmayo,Centre,Cameroun,+237 221 323 338,120,2,True
4,Polyclinique du Mfoundi,Polyclinique,Obala,Centre,Cameroun,+237 223 833 765,200,2,True
5,Dispensaire Nanga-Eboko,Dispensaire,Nanga-Eboko,Centre,Cameroun,+237 227 703 384,49,1,True
6,Hôpital Régional de Bafia,Hôpital public,Bafia,Centre,Cameroun,+237 226 448 384,500,3,True
7,Hôpital Privé Douala,Hôpital privé,Douala,Littoral,Cameroun,+237 221 489 199,50,3,True
8,Clinique Sainte-Anne Douala,Clinique,Douala,Littoral,Cameroun,+237 224 926 144,500,2,True
9,Dispensaire Nkongsamba,Dispensaire,Nkongsamba,Littoral,Cameroun,+237 221 665 400,44,1,True
10,Dispensaire Edéa,Dispensaire,Edéa,Littoral,Cameroun,+237 221 146 777,38,1,True
11,Hôpital Privé Loum,Hôpital privé,Loum,Littoral,Cameroun,+237 233 338 987,500,3,True
12,Hôpital Régional de Melong,Hôpital public,Melong,Littoral,Cameroun,+237 230 954 473,120,3,True
13,Hôpital Privé Bafoussam,Hôpital privé,Bafoussam,Ouest,Cameroun,+237 230 373 818,80,3,True
14,Dispensaire Bafoussam,Dispensaire,Bafoussam,Ouest,Cameroun,+237 231 350 267,19,1,True
15,Centre de Santé de Dschang,Centre de santé,Dschang,Ouest,Cameroun,+237 231 670 324,39,1,True
16,Dispensaire Mbouda,Dispensaire,Mbouda,Ouest,Cameroun,+237 233 132 924,35,1,True
17,Clinique Sainte-Anne Foumban,Clinique,Foumban,Ouest,Cameroun,+237 223 680 997,120,2,True
18,Dispensaire Bangangté,Dispensaire,Bangangté,Ouest,Cameroun,+237 227 505 758,35,1,True
19,Centre de Santé de Bamenda,Centre de santé,Bamenda,Nord-Ouest,Cameroun,+237 223 862 674,24,1,True
20,Polyclinique du Mfoundi,Polyclinique,Bamenda,Nord-Ouest,Cameroun,+237 226 470 324,80,2,True
21,Hôpital Privé Kumbo,Hôpital privé,Kumbo,Nord-Ouest,Cameroun,+237 232 148 981,200,3,True
22,Hôpital Régional de Wum,Hôpital public,Wum,Nord-Ouest,Cameroun,+237 226 710 165,50,3,True
23,Centre de Santé de Ndop,Centre de santé,Ndop,Nord-Ouest,Cameroun,+237 224 666 981,39,1,True
24,Hôpital Régional de Mbengwi,Hôpital public,Mbengwi,Nord-Ouest,Cameroun,+237 228 868 373,350,3,True
25,Dispensaire Buea,Dispensaire,Buea,Sud-Ouest,Cameroun,+237 226 261 564,36,1,True
